method,size,iterations,time
Ja,939,23,0.618610
GS,939,16,0.545724
Ja,939,499,8.001511
GS,939,499,10.275694
LU,939,1,4.323780
Ja,100,22,0.006576
GS,100,15,0.005267
LU,100,1,0.005585
Ja,500,23,0.139045
GS,500,16,0.111265
LU,500,1,0.645006
Ja,1000,23,0.537670
GS,1000,16,0.462448
LU,1000,1,5.113414
Ja,2000,23,2.163999
GS,2000,16,1.779014
LU,2000,1,41.709209
Ja,3000,23,5.422848
GS,3000,16,4.307740
LU,3000,1,131.138742
Ja,5000,24,14.670426
GS,5000,16,12.119942
LU,5000,1,600.446687
Ja,10000,24,60.404086
GS,10000,17,48.489064
LU,10000,1,4801.333844
